,1,2,3,4
2,China,Asia,Eastern Asia,1403500365
3,India,Asia,Southern Asia,1324171354
4,United States,Americas,Northern America,322179605
5,Indonesia,Asia,South-eastern Asia,261115456
6,Brazil,Americas,South America,207652865
7,Pakistan,Asia,Southern Asia,193203476
8,Nigeria,Africa,Western Africa,185989640
9,Bangladesh,Asia,Southern Asia,162951560
10,Russia,Europe,Eastern Europe,146864513
11,Mexico,Americas,Central America,127540423
12,Japan,Asia,Eastern Asia,127748513
13,Ethiopia,Africa,Eastern Africa,102403196
14,Philippines,Asia,South-eastern Asia,103320222
15,Egypt,Africa,Northern Africa,95688681
16,Vietnam,Asia,South-eastern Asia,94569072
17,Germany,Europe,Western Europe,81914672
18,Democratic Republic of the Congo,Africa,Middle Africa,78736153
19,Iran,Asia,Southern Asia,80277428
20,Turkey,Asia,Western Asia,79512426
21,Thailand,Asia,South-eastern Asia,68863514
22,United Kingdom,Europe,Northern Europe,65788574
23,France,Europe,Western Europe,64720690
24,Italy,Europe,Southern Europe,59429938
25,Tanzania,Africa,Eastern Africa,55572201
26,South Africa,Africa,Southern Africa,56015473
27,Myanmar,Asia,South-eastern Asia,52885223
28,South Korea,Asia,Eastern Asia,50791919
29,Colombia,Americas,South America,48653419
30,Kenya,Africa,Eastern Africa,48461567
31,Spain,Europe,Southern Europe,46347576
32,Argentina,Americas,South America,43847430
33,Ukraine,Europe,Eastern Europe,44438625
34,Uganda,Africa,Eastern Africa,41487965
35,Algeria,Africa,Northern Africa,40606052
36,Sudan,Africa,Northern Africa,39578828
37,Iraq,Asia,Western Asia,37202572
38,Poland,Europe,Eastern Europe,38224410
39,Canada,Americas,Northern America,36289822
40,Morocco,Africa,Northern Africa,35276786
41,Afghanistan,Asia,Southern Asia,34656032
42,Saudi Arabia,Asia,Western Asia,32275687
43,Peru,Americas,South America,31773839
44,Venezuela,Americas,South America,31568179
45,Uzbekistan,Asia,Central Asia,31446795
46,Malaysia,Asia,South-eastern Asia,31187265
47,Angola,Africa,Middle Africa,28813463
48,Mozambique,Africa,Eastern Africa,28829476
49,Nepal,Asia,Southern Asia,28982771
50,Ghana,Africa,Western Africa,28206728
51,Yemen,Asia,Western Asia,27584213
52,Madagascar,Africa,Eastern Africa,24894551
53,North Korea,Asia,Eastern Asia,25368620
54,Australia,Oceania,Australia and New Zealand,24125848
55,Ivory Coast,Africa,Western Africa,23695919
56,Cameroon,Africa,Middle Africa,23439189
57,Taiwan,Asia,Eastern Asia,23556706
58,Niger,Africa,Western Africa,20672987
59,Sri Lanka,Asia,Southern Asia,20798492
60,Romania,Europe,Eastern Europe,19778083
61,Burkina Faso,Africa,Western Africa,18646433
62,Malawi,Africa,Eastern Africa,18091575
63,Mali,Africa,Western Africa,17994837
64,Syria,Asia,Western Asia,18430453
65,Kazakhstan,Asia,Central Asia,17987736
66,Chile,Americas,South America,17909754
67,Zambia,Africa,Eastern Africa,16591390
68,Netherlands,Europe,Western Europe,16987330
69,Guatemala,Americas,Central America,16582469
70,Ecuador,Americas,South America,16385068
71,Zimbabwe,Africa,Eastern Africa,16150362
72,Cambodia,Asia,South-eastern Asia,15762370
73,Senegal,Africa,Western Africa,15411614
74,Chad,Africa,Middle Africa,14452543
75,Somalia,Africa,Eastern Africa,14317996
76,Guinea,Africa,Western Africa,12395924
77,South Sudan,Africa,Eastern Africa,12230730
78,Rwanda,Africa,Eastern Africa,11917508
79,Tunisia,Africa,Northern Africa,11403248
80,Cuba,Americas,Caribbean,11475982
81,Belgium,Europe,Western Europe,11358379
82,Benin,Africa,Western Africa,10872298
83,Greece,Europe,Southern Europe,11183716
84,Bolivia,Americas,South America,10887882
85,Haiti,Americas,Caribbean,10847334
86,Burundi,Africa,Eastern Africa,10524117
87,Dominican Republic,Americas,Caribbean,10648791
88,Czech Republic,Europe,Eastern Europe,10610947
89,Portugal,Europe,Southern Europe,10371627
90,Sweden,Europe,Northern Europe,9837533
91,Azerbaijan,Asia,Western Asia,9725376
92,Hungary,Europe,Eastern Europe,9753281
93,Jordan,Asia,Western Asia,9455802
94,Belarus,Europe,Eastern Europe,9480042
95,United Arab Emirates,Asia,Western Asia,9269612
96,Honduras,Americas,Central America,9112867
97,Tajikistan,Asia,Central Asia,8734951
98,Serbia,Europe,Southern Europe,8820083
99,Austria,Europe,Western Europe,8712137
100,Switzerland,Europe,Western Europe,8401739
101,Israel,Asia,Western Asia,8191828
102,Papua New Guinea,Oceania,Melanesia,8084991
103,Togo,Africa,Western Africa,7606374
104,Sierra Leone,Africa,Western Africa,7396190
105,Hong Kong,Asia,Eastern Asia,7302843
106,Bulgaria,Europe,Eastern Europe,7131494
107,Laos,Asia,South-eastern Asia,6758353
108,Paraguay,Americas,South America,6725308
109,El Salvador,Americas,Central America,6344722
110,Libya,Africa,Northern Africa,6293253
111,Nicaragua,Americas,Central America,6149928
112,Lebanon,Asia,Western Asia,6006668
113,Kyrgyzstan,Asia,Central Asia,5955734
114,Turkmenistan,Asia,Central Asia,5662544
115,Denmark,Europe,Northern Europe,5711870
116,Singapore,Asia,South-eastern Asia,5622455
117,Finland,Europe,Northern Europe,5503132
118,Slovakia,Europe,Eastern Europe,5444218
119,Norway,Europe,Northern Europe,5254694
120,Congo,Africa,Middle Africa,5125821
121,Eritrea,Africa,Eastern Africa,4954645
